accelX,accelY,accelZ,gyroX,gyroY,gyroZ,label
-0.4678,1.1201,-1.6127,95.8862,146.9116,-65.7959,shake
0.4213,-3.1101,2.5166,-185.7300,297.6074,327.7588,shake
0.4213,-3.1101,2.5166,-185.7300,297.6074,327.7588,shake
-0.5756,1.0438,-2.2751,168.2739,-35.8887,-165.1611,shake
0.1003,-1.8328,2.0060,-230.3467,421.2646,368.1640,shake
-0.0488,0.8983,-0.9879,37.2925,-380.7373,-386.1694,shake
-0.4626,0.2931,-0.4408,63.5376,320.6177,168.8232,shake
0.4712,-2.9249,3.0969,-40.8936,-27.9541,-66.1011,shake
-0.6042,1.0153,-2.3304,129.3335,-329.3457,-337.7685,shake
0.0468,-0.9486,1.2708,-200.2563,455.1391,401.0620,shake
0.9347,-2.7352,2.0854,-113.8916,71.5942,200.0732,shake
-1.1273,1.3467,-2.7878,91.4307,-221.4966,-256.7749,shake
-0.2070,-0.8531,0.8257,-163.3911,481.0180,414.7339,shake
0.5364,-1.4910,1.0292,-82.7637,-107.2388,-167.1142,shake
-0.7125,2.3470,-2.1871,34.4238,59.3262,-39.4897,shake
0.2257,-2.1976,1.0068,-123.1689,332.2143,553.0396,shake
0.2471,-1.2043,0.0927,-128.6011,1.4038,-292.1143,shake
-0.4836,2.7815,-0.8385,183.1055,27.7100,-332.7026,shake
0.5283,-3.7411,0.7291,-23.8647,146.5454,572.3267,shake
-1.1371,-2.8083,2.3761,-386.7187,478.0883,408.4472,shake
-1.1371,-2.8083,2.3761,-386.7187,478.0883,408.4472,shake
-0.9009,3.4299,-1.4110,82.8247,-155.9448,-207.6416,shake
-0.3879,-2.4336,0.9279,20.0195,-25.6348,-157.1655,shake
-0.3445,2.7025,-0.7346,215.8203,-219.4824,-632.5684,shake
-1.3051,-2.7703,1.4895,-190.5517,341.9799,614.7461,shake
-0.7443,0.1613,0.5526,340.8203,-505.4931,-652.4658,shake
-0.7151,1.4669,-1.0828,54.9316,17.9443,20.1416,shake
0.7815,-1.0316,2.1321,-20.5078,-95.9473,-20.3857,shake
-1.3490,1.8927,-2.8247,-15.6860,-262.5732,-132.0190,shake
0.9863,-2.2970,3.4681,-238.4033,499.3286,330.6274,shake
-1.2581,1.4888,-2.1285,58.7158,-604.6143,-317.0166,shake
-0.9193,-0.9817,1.8606,-142.3950,723.6938,416.7480,shake
-0.4376,-0.3555,0.3303,46.7529,-348.2055,-343.2617,shake
-2.0166,2.0129,-0.4288,133.0566,222.2900,-54.7485,shake
0.3070,-2.4673,1.8572,-151.6113,166.1987,185.9131,shake
-1.0065,2.4404,-2.5959,266.2354,-390.8081,-549.4385,shake
-0.8220,-2.6268,2.1849,-241.0889,600.8301,703.0639,shake
0.3324,0.3960,0.0361,94.4214,-251.5259,-348.3276,shake
-0.9740,0.3826,0.3781,-7.4463,223.1445,316.2231,shake
-1.1475,-3.0903,1.2115,-299.3164,428.6499,740.6005,shake
-1.1475,-3.0903,1.2115,-299.3164,428.6499,740.6005,shake
-0.4336,3.2991,-1.3938,59.6924,-109.9243,-309.8755,shake
-0.6581,-3.6055,0.7123,-268.1274,221.1914,500.0610,shake
